id,title,description,starttime,endtime,content,maxNum,tag
128,User Experience Design,Create intuitive interfaces,2025/2/4 13:00,2025/2/4 16:00,"Conduct user research, prototype interfaces, and run usability tests. Portfolio project.",30,Design/Tech/Workshop
129,Mental Health First Aid,Support peers in crisis,2025/1/23 10:00,2025/1/23 16:00,Recognize signs of mental distress. Practice supportive conversations and resource referral.,Certification,Health/Wellness/Safety
130,Podcast Sound Design,Create immersive audio,2025/2/6 18:00,2025/2/6 20:30,"Foley techniques, ambient soundscapes, and audio processing. Enhance storytelling with sound.",25,Media/AudioProduction/Creative
131,Sustainable Fashion Design,Eco-friendly clothing,2025/1/30 14:00,2025/1/30 17:00,"Work with organic cotton, recycled polyester, and natural dyes. Zero-waste pattern cutting.",20,Fashion/Sustainability/Design
132,Philosophy Cafe,Deep discussions,2025/2/8 19:00,2025/2/8 21:00,"Socratic dialogues on ethics, existence, and knowledge. No background required.",Unlimited,Philosophy/Social/Academic
133,Circus Skills Workshop,Juggling and acrobatics,2025/1/25 16:00,2025/1/25 18:30,"Learn basic juggling, plate spinning, and balance techniques. Fun physical challenge.",40,Recreation/Fitness/Performance
134,Genomic Sequencing Demo,DNA analysis techniques,2025/2/10 14:00,2025/2/10 17:00,Extract and sequence DNA samples. Discuss ethical implications of genetic testing.,25,Biology/Tech/Ethics
135,Community Poetry Wall,Collaborative verse creation,2025/2/1 12:00,2025/2/1 14:00,Contribute lines to evolving campus poem. Magnetic poetry and typewriter stations.,Unlimited,CreativeWriting/Community/Arts
136,Disaster Response Training,Emergency preparedness,2025/2/12 9:00,2025/2/12 16:00,"Simulate natural disaster scenarios. Triage, resource allocation, and crisis communication.",35,Safety/Leadership/Workshop
137,Ethnobotany Walk,Medicinal plant identification,2025/2/3 10:00,2025/2/3 12:00,Campus plants with traditional uses. Sustainable harvesting ethics.,20,Nature/Anthropology/Wellness
138,Animation Storyboarding,Visualize narratives,2025/2/14 13:00,2025/2/14 16:00,Create shot sequences for animation. Learn cinematography principles for 2D and 3D.,30,ArtExhibition/FilmScreening/Design
139,Financial Aid Workshop,Maximize funding opportunities,2025/2/5 17:00,2025/2/5 19:00,"Navigate scholarships, grants, and loan options. Application tips from financial aid officers.",50,Academic/Career/Finance
140,Archery Tag Tournament,Combat archery game,2025/2/16 14:00,2025/2/16 17:00,Team-based archery competition with foam-tipped arrows. Safety equipment provided.,40,Sports/Recreation/Teamwork
141,Science Fiction Book Club,Discuss speculative futures,2025/2/7 18:00,2025/2/7 20:00,Monthly discussion of classic and contemporary sci-fi. Author analysis and theme exploration.,25,Reading/Social/Academic
142,Biomimicry Design,Nature-inspired innovation,2025/2/18 15:00,2025/2/18 17:30,Apply biological solutions to engineering challenges. Case studies and design exercises.,30,Design/Engineering/Biology
143,Cultural Appropriation Talk,Respectful cultural exchange,2025/2/9 16:00,2025/2/9 18:30,Distinguish appreciation from appropriation. Panel with cultural studies scholars.,60,Ethics/CulturalFestival/Social
144,Parkour Fundamentals,Urban movement skills,2025/2/20 10:00,2025/2/20 12:30,"Safe vaulting, rolling, and climbing techniques. Build confidence and spatial awareness.",20,Sports/Fitness/Recreation
145,Art Therapy for Trauma,Healing through creation,2025/2/11 14:00,2025/2/11 16:30,Expressive arts for processing difficult experiences. Guided by licensed art therapists.,15,ArtTherapy/Wellness/Counseling
146,Quantum Physics Demo,Strange world of quanta,2025/2/22 18:00,2025/2/22 20:00,Hands-on demonstrations of quantum phenomena. Discussion of interpretations and implications.,40,Physics/Academic/Tech
147,Food Justice Forum,Equitable food systems,2025/2/13 12:00,2025/2/13 14:30,"Address food deserts, worker rights, and sustainable agriculture. Action planning session.",50,Sustainability/FoodTasting/SocialJustice
148,Silent Disco Dance Party,Headphone dancing experience,2025/2/24 20:00,2025/2/24 23:00,Three-channel silent disco with different music genres. Glow accessories and refreshments.,100,Music/Social/Recreation
149,Patent Law Basics,Protect inventions,2025/2/15 15:00,2025/2/15 17:00,Navigating patent process for student innovators. Prior art search and application drafting.,30,Law/Entrepreneurship/Career
150,Guerrilla Gardening,Seed bomb making,2025/2/26 14:00,2025/2/26 16:00,Create seed bombs for neglected urban spaces. Native wildflower mix preparation.,Unlimited,Gardening/EcoFriendly/Community
151,Musical Theater Audition,Performance techniques,2025/2/17 18:00,2025/2/17 21:00,Prepare songs and monologues. Feedback from theater directors and casting agents.,25,Arts/Performance/Career
152,Paleontology Lab,Fossil preparation,2025/2/28 13:00,2025/2/28 16:00,Clean and catalog real fossils. Discuss prehistoric ecosystems.,20,Academic/Science/HandsOn
153,Mind Mapping Workshop,Visual thinking tools,2025/2/19 10:00,2025/2/19 12:00,Organize ideas and boost creativity. Applications for studying and project planning.,35,Academic/Workshop/Productivity
154,Beekeeping Society,Hive maintenance,2025/3/2 9:00,2025/3/2 11:00,"Inspect campus hives, harvest honey, and learn bee behavior. Protective suits provided.",15,Nature/Sustainability/HandsOn
155,Video Essay Creation,Argument through media,2025/2/21 14:00,2025/2/21 17:00,"Combine research, writing, and editing to make compelling video arguments.",30,Media/FilmScreening/Academic
156,Restorative Justice Circle,Conflict resolution practice,2025/3/4 16:00,2025/3/4 18:30,Facilitated dialogue for community healing. Based on indigenous peacemaking traditions.,25,Leadership/Community/Workshop
157,Experimental Music Lab,Sound exploration,2025/2/23 19:00,2025/2/23 21:30,"Create unconventional instruments and compositions. Noise, ambient, and electronic techniques.",20,Music/Creative/Experimental
158,Green Chemistry Demo,Sustainable lab practices,2025/3/6 13:00,2025/3/6 15:00,Environmentally benign chemical synthesis. Reduce waste and hazardous materials.,35,Chemistry/Sustainability/Science
159,Immersive Theater Experience,Interactive performance,2025/2/25 18:00,2025/2/25 21:00,Audience-participation theater exploring social themes. Multiple narrative pathways.,40,Theater/Arts/Interactive
160,Astrology & Astronomy,Cosmic perspectives,2025/3/8 19:00,2025/3/8 21:00,Compare scientific and cultural understandings of celestial phenomena. Planetarium show included.,50,Astronomy/Cultural/Social
161,Entrepreneurial Marketing,Build customer base,2025/2/27 10:00,2025/2/27 12:30,Growth hacking for startups. Viral strategies and lean marketing tactics.,45,Entrepreneurship/Marketing/Career
162,Zen Garden Creation,Mindful landscaping,2025/3/10 14:00,2025/3/10 16:30,Design and build miniature zen gardens. Principles of Japanese garden aesthetics.,20,Gardening/Wellness/Design
163,Clinical Psychology Seminar,Mental health career paths,2025/1/15 14:00,2025/1/15 16:30,Psychologists discuss career options in mental health fields. Q&A session and internship opportunities.,45,Academic/Career/Counseling
